,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,min_processo
3214,L,303.5,312.5,1418,42.2,170,No Failure,85.0
3215,M,303.5,312.5,1353,51.0,172,No Failure,57.333333333333336
3216,L,303.5,312.4,1574,32.7,175,No Failure,87.5
3217,L,303.7,312.6,1621,38.8,182,No Failure,91.0
3218,L,303.6,312.6,1606,33.6,184,No Failure,92.0
3219,H,303.6,312.5,1375,54.0,186,No Failure,37.2
3220,L,303.5,312.4,1503,36.5,191,No Failure,95.5
3221,L,303.5,312.3,1404,48.6,193,No Failure,96.5
3222,M,303.4,312.0,1748,28.4,200,No Failure,66.66666666666667
3223,L,303.4,311.9,1531,37.9,203,No Failure,101.5
3224,M,303.3,311.8,1536,40.6,205,No Failure,68.33333333333333
3225,H,303.4,311.9,1534,33.2,210,No Failure,42.0
3226,L,303.4,312.0,1521,35.9,215,Tool Wear Failure,107.5
3227,M,303.6,312.1,1967,20.9,2,No Failure,0.6666666666666666
3228,L,303.6,312.2,1696,30.7,5,No Failure,2.5
3229,M,303.6,312.1,1627,32.5,7,No Failure,2.3333333333333335
3230,L,303.5,311.9,1405,45.6,10,No Failure,5.0
3231,L,303.4,311.8,1438,58.9,22,No Failure,11.0
3232,L,303.5,311.9,1515,39.2,24,No Failure,12.0
3233,L,303.4,311.9,1491,38.2,26,No Failure,13.0
3234,L,303.5,312.0,1436,45.1,32,No Failure,16.0
3235,L,303.4,311.9,1377,41.6,34,Heat Dissipation Failure,17.0
3236,M,303.4,311.9,1419,50.9,39,No Failure,13.0
3237,H,303.3,311.8,1806,27.7,44,No Failure,8.8
3238,L,303.4,311.9,1298,63.9,59,Heat Dissipation Failure,29.5
3239,M,303.3,311.8,1441,44.9,61,No Failure,20.333333333333332
3240,L,303.3,311.8,1842,24.5,67,No Failure,33.5
3241,M,303.4,311.8,1316,50.9,69,Heat Dissipation Failure,23.0
3242,M,303.3,311.8,1548,33.5,75,No Failure,25.0
3243,L,303.4,311.9,1434,44.6,78,No Failure,39.0
3244,H,303.5,312.0,1397,52.9,80,No Failure,16.0
3245,M,303.5,312.0,1475,42.9,85,No Failure,28.333333333333332
3246,L,303.5,312.0,1441,56.8,88,No Failure,44.0
3247,L,303.7,312.2,1619,34.9,92,No Failure,46.0
3248,L,303.7,312.2,1487,34.0,94,No Failure,47.0
3249,L,303.7,312.3,1375,46.2,98,No Failure,49.0
3250,M,303.6,312.3,1698,31.3,100,No Failure,33.333333333333336
3251,L,303.7,312.3,1349,51.0,105,No Failure,52.5
3252,L,303.7,312.4,1535,38.6,107,No Failure,53.5
3253,L,303.5,312.3,1946,21.1,112,No Failure,56.0
3254,L,303.5,312.1,1326,55.7,114,No Failure,57.0
3255,M,303.6,312.3,1915,22.3,116,No Failure,38.666666666666664
3256,L,303.6,312.3,1451,43.4,119,No Failure,59.5
3257,M,303.5,312.3,1624,34.8,121,No Failure,40.333333333333336
3258,L,303.6,312.4,1781,28.7,124,No Failure,62.0
3259,L,303.7,312.4,1718,26.5,130,No Failure,65.0
3260,M,303.7,312.4,1631,28.5,132,No Failure,44.0
3261,L,303.7,312.4,1513,40.1,135,No Failure,67.5
3262,M,303.7,312.4,1474,38.8,139,No Failure,46.333333333333336
3263,L,303.8,312.5,1619,30.9,142,No Failure,71.0
3264,L,303.7,312.4,1702,31.2,144,No Failure,72.0
3265,M,303.7,312.4,1546,33.7,149,No Failure,49.666666666666664
3266,H,303.7,312.5,1520,35.6,154,No Failure,30.8
3267,M,303.8,312.6,1406,47.1,162,No Failure,54.0
3268,L,303.7,312.5,1462,46.2,165,No Failure,82.5
3269,M,303.8,312.6,1684,29.3,167,No Failure,55.666666666666664
3270,H,303.8,312.5,1655,28.0,170,No Failure,34.0
3271,L,303.7,312.5,1481,33.3,182,No Failure,91.0
3272,L,303.7,312.4,1525,43.9,188,No Failure,94.0
3273,M,303.8,312.5,1448,44.3,195,No Failure,65.0
3274,M,303.8,312.4,1597,33.4,203,No Failure,67.66666666666667
3275,H,303.8,312.5,1525,38.0,209,No Failure,41.8
3276,L,303.6,312.3,2168,17.7,219,No Failure,109.5
3277,M,303.6,312.3,1630,32.4,223,No Failure,74.33333333333333
3278,L,303.6,312.3,1616,29.3,226,No Failure,113.0
3279,L,303.6,312.4,2232,16.8,0,No Failure,0.0
3280,H,303.6,312.4,1436,45.6,9,No Failure,1.8
3281,M,303.6,312.5,1459,48.2,17,No Failure,5.666666666666667
3282,L,303.5,312.4,1481,43.7,20,No Failure,10.0
3283,M,303.5,312.4,1606,31.7,22,No Failure,7.333333333333333
3284,L,303.5,312.3,1681,29.8,25,No Failure,12.5
3285,L,303.5,312.2,1511,37.1,27,No Failure,13.5
3286,H,303.5,312.3,1386,49.0,35,No Failure,7.0
3287,H,303.4,312.3,1769,27.9,40,No Failure,8.0
3288,M,303.4,312.2,1561,38.2,45,No Failure,15.0
3289,L,303.3,312.2,1457,40.7,48,No Failure,24.0
3290,L,303.3,312.2,1506,40.0,50,No Failure,25.0
3291,L,303.4,312.3,1287,54.8,54,No Failure,27.0
3292,H,303.4,312.3,1522,42.1,62,No Failure,12.4
3293,L,303.4,312.3,1680,30.6,67,No Failure,33.5
3294,L,303.4,312.3,1502,36.0,69,No Failure,34.5
3295,M,303.5,312.3,1543,33.3,71,No Failure,23.666666666666668
3296,L,303.5,312.4,1340,44.5,76,No Failure,38.0
3297,M,303.3,312.1,1693,30.0,80,No Failure,26.666666666666668
3298,H,303.4,312.2,1554,36.8,85,No Failure,17.0
3299,L,303.4,312.3,1479,42.8,92,No Failure,46.0
3300,L,303.5,312.4,1284,70.6,94,Power Failure,47.0
3301,M,303.5,312.4,1606,30.1,98,No Failure,32.666666666666664
3302,L,303.6,312.5,1286,62.4,101,No Failure,50.5
3303,M,303.6,312.7,1699,31.5,105,No Failure,35.0
3304,L,303.5,312.6,1602,34.2,108,No Failure,54.0
3305,H,303.6,312.6,1436,42.0,110,No Failure,22.0
3306,L,303.6,312.7,1418,44.1,118,No Failure,59.0
3307,M,303.7,312.7,1669,31.7,120,No Failure,40.0
3308,L,303.7,312.7,1395,53.9,123,No Failure,61.5
3309,M,303.8,312.7,1500,41.7,125,No Failure,41.666666666666664
3310,M,303.8,312.7,1555,33.4,128,No Failure,42.666666666666664
3311,M,303.8,312.7,1919,20.2,131,No Failure,43.666666666666664
3312,L,303.8,312.7,1596,36.6,134,No Failure,67.0
3313,M,303.8,312.7,1374,53.6,136,No Failure,45.333333333333336
3314,M,303.8,312.5,1366,45.1,143,No Failure,47.666666666666664
3315,M,303.8,312.5,2344,15.2,146,No Failure,48.666666666666664
3316,L,303.8,312.5,1523,47.0,152,No Failure,76.0
3317,L,303.8,312.6,1735,25.9,154,No Failure,77.0
3318,L,303.9,312.7,1339,62.3,156,No Failure,78.0
3319,L,303.9,312.7,1800,24.3,158,No Failure,79.0
3320,L,303.9,312.7,1602,33.9,165,No Failure,82.5
3321,M,303.8,312.7,1364,49.3,167,No Failure,55.666666666666664
3322,L,303.8,312.6,1793,28.1,170,No Failure,85.0
3323,L,303.9,312.6,1426,53.4,172,No Failure,86.0
3324,M,303.9,312.7,1485,43.3,174,No Failure,58.0
3325,L,303.9,312.7,1528,38.4,177,No Failure,88.5
3326,L,303.8,312.6,1565,36.0,179,No Failure,89.5
3327,L,303.8,312.7,1838,27.8,181,No Failure,90.5
3328,H,303.8,312.6,1811,24.9,183,No Failure,36.6
3329,L,303.7,312.7,1426,45.5,192,No Failure,96.0
3330,L,303.7,312.7,1359,56.8,194,Overstrain Failure,97.0
3331,L,303.6,312.7,1429,47.7,198,No Failure,99.0
3332,M,303.7,312.8,1558,37.7,206,No Failure,68.66666666666667
3333,L,303.7,313.0,1811,24.3,209,No Failure,104.5
3334,L,303.8,313.1,1869,25.8,211,No Failure,105.5
3335,L,303.7,312.9,1502,40.5,0,No Failure,0.0
3336,M,303.7,313.0,1303,54.4,2,No Failure,0.6666666666666666
3337,L,303.8,313.1,2497,13.0,5,Power Failure,2.5
3338,M,303.9,313.0,1475,41.0,11,No Failure,3.6666666666666665
3339,L,303.8,312.9,1573,34.6,14,No Failure,7.0
3340,L,303.6,312.6,1540,39.8,21,No Failure,10.5
3341,M,303.7,312.9,1532,41.3,32,No Failure,10.666666666666666
3342,L,303.7,312.8,1832,23.6,35,No Failure,17.5
3343,M,303.6,312.7,2174,17.6,37,No Failure,12.333333333333334
3344,L,303.7,312.8,1437,51.3,42,No Failure,21.0
3345,L,303.7,312.8,1364,46.3,44,No Failure,22.0
3346,L,303.8,312.9,1442,48.3,52,No Failure,26.0
3347,H,303.7,312.8,1488,42.8,54,No Failure,10.8
3348,L,303.7,312.8,1523,40.7,59,No Failure,29.5
3349,L,303.7,312.8,1543,38.3,61,No Failure,30.5
3350,M,303.7,312.8,1634,33.8,63,No Failure,21.0
3351,L,303.8,313.0,1452,38.6,72,No Failure,36.0
3352,L,303.9,313.0,1759,28.4,74,No Failure,37.0
3353,L,303.9,313.0,1408,47.5,76,No Failure,38.0
3354,M,303.9,313.0,1620,36.6,80,No Failure,26.666666666666668
3355,L,304.0,313.0,1350,61.1,88,No Failure,44.0
3356,M,304.0,313.0,1575,34.5,92,No Failure,30.666666666666668
3357,L,303.9,313.1,1639,29.0,95,No Failure,47.5
3358,L,303.9,313.2,1481,40.0,100,No Failure,50.0
3359,L,304.0,313.3,1294,54.6,102,No Failure,51.0
3360,M,303.9,313.2,1630,29.3,104,No Failure,34.666666666666664
3361,M,303.9,313.2,1624,39.8,107,No Failure,35.666666666666664
3362,M,303.9,313.1,1437,48.3,110,No Failure,36.666666666666664
3363,M,303.8,313.0,1514,45.0,113,No Failure,37.666666666666664
3364,M,303.9,313.1,1514,41.1,121,No Failure,40.333333333333336
3365,M,304.0,313.2,1500,40.6,124,No Failure,41.333333333333336
3366,L,304.0,313.2,1615,37.8,127,No Failure,63.5
3367,M,304.1,313.2,1586,41.1,129,No Failure,43.0
3368,L,304.1,313.3,1732,28.5,132,No Failure,66.0
3369,H,304.1,313.2,1586,34.6,139,No Failure,27.8
3370,L,304.1,313.2,1569,35.8,146,No Failure,73.0
3371,L,304.1,313.2,1468,39.4,148,No Failure,74.0
3372,M,304.1,313.2,1510,46.9,152,No Failure,50.666666666666664
3373,M,304.1,313.2,1410,42.4,155,No Failure,51.666666666666664
3374,M,304.1,313.3,1680,29.3,158,No Failure,52.666666666666664
3375,H,304.0,313.1,1472,45.5,166,No Failure,33.2
3376,L,303.9,313.0,1433,48.4,178,No Failure,89.0
3377,L,303.8,312.9,1619,35.7,182,No Failure,91.0
3378,M,303.9,312.9,1430,53.5,189,No Failure,63.0
3379,L,303.8,312.9,1367,49.9,192,No Failure,96.0
3380,L,303.9,312.8,1419,47.9,196,No Failure,98.0
3381,L,304.0,312.8,1542,42.7,198,No Failure,99.0
3382,L,304.0,312.9,1363,62.5,200,Overstrain Failure,100.0
3383,L,304.0,312.9,1313,53.9,202,No Failure,101.0
3384,H,304.0,312.9,1495,46.6,0,No Failure,0.0
3385,L,304.1,313.0,1566,37.2,7,No Failure,3.5
3386,M,304.2,313.2,1380,48.7,17,No Failure,5.666666666666667
3387,M,304.2,313.1,1608,31.1,20,No Failure,6.666666666666667
3388,M,304.0,313.0,1454,46.8,30,No Failure,10.0
3389,L,304.1,313.2,1366,46.6,35,No Failure,17.5
3390,L,304.2,313.2,1464,44.9,37,No Failure,18.5
3391,L,304.3,313.3,1775,24.9,39,No Failure,19.5
3392,M,304.3,313.4,1482,43.8,41,No Failure,13.666666666666666
3393,L,304.2,313.3,1410,51.6,47,No Failure,23.5
3394,L,304.1,313.1,1969,20.8,59,No Failure,29.5
3395,M,304.0,313.0,1377,56.0,61,No Failure,20.333333333333332
3396,L,304.0,313.1,1465,41.0,69,No Failure,34.5
3397,M,303.9,313.1,1483,47.2,71,No Failure,23.666666666666668
3398,L,303.9,313.2,1345,48.2,77,No Failure,38.5
3399,M,303.9,313.2,1608,40.6,79,No Failure,26.333333333333332
3400,M,304.0,313.3,1415,52.8,82,No Failure,27.333333333333332
3401,M,304.1,313.5,1470,45.8,85,No Failure,28.333333333333332
3402,H,304.2,313.5,1627,32.2,91,No Failure,18.2
3403,L,304.2,313.4,1475,40.2,98,No Failure,49.0
3404,L,304.2,313.5,1438,50.1,100,No Failure,50.0
3405,M,304.1,313.4,1518,42.4,105,No Failure,35.0
3406,M,304.1,313.5,1587,33.6,108,No Failure,36.0
3407,L,304.1,313.4,1399,43.7,111,No Failure,55.5
3408,L,304.1,313.4,1374,56.6,115,No Failure,57.5
3409,L,303.9,313.3,1394,51.6,121,No Failure,60.5
3410,M,304.0,313.4,1389,45.8,123,No Failure,41.0
3411,M,304.0,313.5,1732,26.2,126,No Failure,42.0
3412,L,304.1,313.6,1556,37.4,129,No Failure,64.5
3413,M,304.1,313.6,1441,43.7,131,No Failure,43.666666666666664
3414,M,304.2,313.8,1481,44.9,136,No Failure,45.333333333333336
3415,M,304.2,313.7,2113,18.4,139,No Failure,46.333333333333336
3416,M,304.2,313.6,1512,33.4,146,No Failure,48.666666666666664
3417,L,304.2,313.6,1469,40.0,154,No Failure,77.0
3418,H,304.2,313.5,1684,29.8,156,No Failure,31.2
3419,M,304.2,313.5,1532,41.3,161,No Failure,53.666666666666664
3420,M,304.2,313.5,1557,37.3,164,No Failure,54.666666666666664
3421,M,304.3,313.5,1416,48.1,167,No Failure,55.666666666666664
3422,M,304.3,313.5,2245,15.1,172,No Failure,57.333333333333336
3423,L,304.2,313.4,1434,42.5,175,No Failure,87.5
3424,L,304.2,313.3,1668,35.7,180,No Failure,90.0
3425,L,304.1,313.3,1452,43.9,182,No Failure,91.0
3426,L,304.1,313.2,1824,25.8,186,No Failure,93.0
3427,L,304.1,313.3,1438,45.5,188,No Failure,94.0
3428,L,304.1,313.3,1883,24.5,190,No Failure,95.0
3429,L,304.2,313.4,1735,28.9,192,No Failure,96.0
3430,L,304.3,313.5,1464,36.7,194,No Failure,97.0
3431,M,304.4,313.6,1510,38.9,199,No Failure,66.33333333333333
3432,L,304.4,313.6,1568,39.1,0,No Failure,0.0
3433,L,304.4,313.7,1607,33.5,5,No Failure,2.5
3434,L,304.5,313.7,1670,32.9,7,No Failure,3.5
3435,L,304.4,313.6,1585,38.9,9,No Failure,4.5
3436,L,304.4,313.6,1507,43.1,13,No Failure,6.5
3437,L,304.3,313.5,1452,41.5,15,No Failure,7.5
3438,L,304.3,313.5,2643,12.7,21,No Failure,10.5
3439,L,304.2,313.4,1644,31.7,23,No Failure,11.5
3440,L,304.2,313.4,1568,37.6,25,No Failure,12.5
3441,L,304.1,313.3,1459,50.3,39,No Failure,19.5
3442,L,304.2,313.4,1490,44.0,41,No Failure,20.5
3443,M,304.1,313.2,2028,18.9,45,No Failure,15.0
3444,M,304.3,313.4,1624,32.1,53,No Failure,17.666666666666668
3445,L,304.2,313.4,1421,43.4,56,No Failure,28.0
3446,L,304.2,313.4,1639,32.7,63,No Failure,31.5
3447,H,304.1,313.4,1696,29.6,65,No Failure,13.0
3448,L,304.1,313.3,1470,39.9,70,No Failure,35.0
3449,M,304.1,313.3,1480,38.4,72,No Failure,24.0
3450,L,304.2,313.4,1740,28.2,78,No Failure,39.0
3451,M,304.2,313.5,1739,28.1,80,No Failure,26.666666666666668
3452,L,304.2,313.4,1740,23.7,86,No Failure,43.0
3453,M,304.0,313.3,1844,27.1,88,No Failure,29.333333333333332
3454,H,304.0,313.1,1388,53.2,91,No Failure,18.2
3455,M,304.0,313.1,1450,42.8,101,No Failure,33.666666666666664
3456,L,304.0,313.2,1584,38.7,104,No Failure,52.0
3457,L,304.0,313.1,1720,28.7,106,No Failure,53.0
3458,L,303.9,313.1,1586,31.9,108,No Failure,54.0
3459,L,304.0,313.0,1397,42.4,113,No Failure,56.5
3460,L,304.0,313.0,2012,21.1,115,No Failure,57.5
3461,L,304.0,313.0,2354,15.0,117,No Failure,58.5
3462,L,304.0,313.1,1648,35.7,119,No Failure,59.5
3463,L,304.0,313.2,1632,30.6,121,No Failure,60.5
3464,M,304.1,313.2,1427,46.9,123,No Failure,41.0
3465,L,304.1,313.2,1452,48.0,126,No Failure,63.0
3466,L,303.9,313.1,1310,62.9,130,No Failure,65.0
3467,M,303.9,313.1,1668,34.4,137,No Failure,45.666666666666664
3468,L,303.9,313.0,1551,36.8,140,No Failure,70.0
3469,H,303.8,312.9,1570,35.8,147,No Failure,29.4
3470,L,303.8,312.8,1428,53.3,152,No Failure,76.0
3471,L,303.7,312.7,1335,51.1,161,No Failure,80.5
3472,M,303.7,312.6,1671,30.5,163,No Failure,54.333333333333336
3473,L,303.7,312.7,1989,22.4,166,No Failure,83.0
3474,H,303.7,312.6,1711,27.6,170,No Failure,34.0
3475,L,303.7,312.6,1466,42.5,183,No Failure,91.5
3476,L,303.7,312.5,1433,53.6,185,No Failure,92.5
3477,L,303.7,312.5,1397,45.7,187,No Failure,93.5
3478,M,303.7,312.6,1429,43.3,189,No Failure,63.0
3479,L,303.7,312.7,1572,37.2,192,No Failure,96.0
3480,M,303.7,312.7,1532,42.7,194,No Failure,64.66666666666667
3481,L,303.8,313.0,1365,59.9,205,Overstrain Failure,102.5
3482,L,303.8,313.0,1633,32.9,207,No Failure,103.5
3483,L,303.9,313.0,1626,31.4,209,No Failure,104.5
3484,L,303.9,313.1,1665,29.6,0,No Failure,0.0
3485,L,303.9,313.0,1403,48.3,10,No Failure,5.0
3486,M,303.9,313.1,1343,61.4,14,No Failure,4.666666666666667
3487,H,303.9,313.1,1790,26.7,17,No Failure,3.4
3488,L,303.6,312.9,1381,57.8,27,No Failure,13.5
3489,L,303.6,312.9,1450,45.3,29,No Failure,14.5
3490,L,303.7,312.9,1461,50.1,31,No Failure,15.5
3491,M,303.7,312.9,1511,41.0,33,No Failure,11.0
3492,L,303.7,313.0,1457,44.1,40,No Failure,20.0
3493,L,303.7,313.0,1694,28.0,44,No Failure,22.0
3494,L,303.7,313.1,1683,28.4,46,No Failure,23.0
3495,L,303.7,313.1,1496,47.4,48,No Failure,24.0
3496,L,303.6,313.0,1575,38.3,54,No Failure,27.0
3497,M,303.5,313.0,1902,21.6,60,No Failure,20.0
3498,M,303.4,312.9,1422,39.9,63,No Failure,21.0
3499,M,303.4,312.9,1307,54.3,68,No Failure,22.666666666666668
3500,L,303.5,313.0,1547,40.3,73,No Failure,36.5
3501,L,303.5,313.1,1897,23.6,75,No Failure,37.5
3502,M,303.5,313.0,1403,51.9,77,No Failure,25.666666666666668
3503,L,303.5,313.0,1482,38.5,82,No Failure,41.0
3504,M,303.5,312.9,1572,44.7,84,No Failure,28.0
3505,L,303.5,312.9,1544,36.9,87,No Failure,43.5
3506,M,303.5,313.0,1492,46.1,89,No Failure,29.666666666666668
3507,L,303.4,312.8,1513,35.8,92,No Failure,46.0
3508,L,303.4,312.8,1449,43.9,94,No Failure,47.0
3509,L,303.5,312.8,1877,22.3,96,No Failure,48.0
3510,L,303.4,312.8,1376,53.4,98,No Failure,49.0
3511,M,303.5,312.9,1883,23.3,100,No Failure,33.333333333333336
3512,M,303.5,312.9,1438,42.8,106,No Failure,35.333333333333336
3513,L,303.4,312.9,1389,54.1,109,No Failure,54.5
3514,L,303.5,312.9,1504,44.8,111,No Failure,55.5
3515,L,303.5,312.9,1275,64.4,113,No Failure,56.5
3516,L,303.6,313.0,1534,39.7,115,No Failure,57.5
3517,M,303.6,313.0,1396,38.2,117,No Failure,39.0
3518,L,303.6,313.0,1617,30.9,122,No Failure,61.0
3519,L,303.7,313.1,1423,41.2,124,No Failure,62.0
3520,L,303.5,313.0,1606,34.0,126,No Failure,63.0
3521,L,303.5,312.9,1501,44.0,128,No Failure,64.0
3522,M,303.5,312.9,1618,30.4,130,No Failure,43.333333333333336
3523,H,303.8,313.2,1381,52.4,140,No Failure,28.0
3524,L,303.8,313.2,1525,41.9,145,No Failure,72.5
3525,M,303.8,313.2,1732,29.6,147,No Failure,49.0
3526,L,303.8,313.1,1523,39.8,150,No Failure,75.0
3527,L,303.8,313.1,1422,42.4,152,No Failure,76.0
3528,H,303.8,313.2,1506,46.9,154,No Failure,30.8
3529,L,303.8,313.2,1531,39.4,159,No Failure,79.5
3530,M,303.9,313.3,1507,34.3,161,No Failure,53.666666666666664
3531,L,303.9,313.3,1526,40.7,164,No Failure,82.0
3532,L,303.8,313.3,1406,52.1,166,No Failure,83.0
3533,M,303.9,313.4,1464,49.1,171,No Failure,57.0
3534,L,303.8,313.2,1336,47.8,176,No Failure,88.0
3535,H,303.8,313.2,1379,50.2,178,No Failure,35.6
3536,L,303.7,313.1,1406,48.6,183,No Failure,91.5
3537,M,303.7,313.1,2130,18.1,185,No Failure,61.666666666666664
3538,L,303.7,313.1,1355,49.1,188,No Failure,94.0
3539,M,303.8,313.2,1710,26.5,190,No Failure,63.333333333333336
3540,L,303.9,313.2,1481,44.1,197,No Failure,98.5
3541,L,303.9,313.1,1425,49.3,199,No Failure,99.5
3542,H,303.9,313.2,1680,29.1,201,No Failure,40.2
3543,H,304.0,313.2,1612,31.7,206,No Failure,41.2
3544,L,304.0,313.2,1481,42.6,213,No Failure,106.5
3545,L,303.8,313.0,1427,43.0,0,No Failure,0.0
3546,H,303.7,312.9,1460,49.8,2,No Failure,0.4
3547,M,303.7,312.9,1566,32.6,9,No Failure,3.0
3548,L,303.6,312.8,1701,30.8,12,No Failure,6.0
3549,L,303.6,312.8,1710,27.2,14,No Failure,7.0
3550,M,303.6,312.8,1689,33.1,16,No Failure,5.333333333333333
3551,L,303.6,312.7,1637,32.9,19,No Failure,9.5
3552,L,303.5,312.6,1496,39.0,21,No Failure,10.5
3553,M,303.5,312.7,1402,47.0,23,No Failure,7.666666666666667
3554,L,303.4,312.7,1363,45.5,26,No Failure,13.0
3555,M,303.4,312.7,1576,49.9,28,No Failure,9.333333333333334
3556,M,303.4,312.7,1357,55.3,31,No Failure,10.333333333333334
3557,M,303.4,312.8,1526,30.8,37,No Failure,12.333333333333334
3558,M,303.5,312.7,2116,16.7,45,No Failure,15.0
3559,L,303.7,313.0,1456,45.5,51,No Failure,25.5
3560,L,303.6,312.9,1588,31.9,53,No Failure,26.5
3561,L,303.7,312.8,1448,44.5,55,No Failure,27.5
3562,H,303.6,312.7,1403,46.2,57,No Failure,11.4
3563,M,303.5,312.6,1405,51.6,62,No Failure,20.666666666666668
3564,M,303.4,312.6,2706,9.8,65,Power Failure,21.666666666666668
3565,M,303.3,312.4,1505,38.9,68,No Failure,22.666666666666668
3566,L,303.2,312.4,1663,33.7,71,No Failure,35.5
3567,M,303.4,312.7,1594,32.8,79,No Failure,26.333333333333332
3568,L,303.5,312.7,1393,49.3,82,No Failure,41.0
3569,H,303.5,312.8,1404,55.8,84,No Failure,16.8
3570,L,303.5,312.8,1607,38.4,92,No Failure,46.0
3571,L,303.4,312.8,1360,50.8,94,No Failure,47.0
3572,L,303.5,312.8,1524,39.4,96,No Failure,48.0
3573,L,303.4,312.7,1534,35.5,98,No Failure,49.0
3574,L,303.3,312.7,1262,63.8,100,No Failure,50.0
3575,M,303.3,312.7,1642,33.6,104,No Failure,34.666666666666664
3576,M,303.5,312.9,1530,34.5,110,No Failure,36.666666666666664
3577,M,303.4,312.8,1590,36.3,113,No Failure,37.666666666666664
3578,L,303.4,312.7,1589,34.0,116,No Failure,58.0
3579,L,303.4,312.6,1462,37.5,118,No Failure,59.0
3580,H,303.3,312.5,1328,49.8,120,No Failure,24.0
3581,H,303.3,312.6,1692,29.0,125,No Failure,25.0
3582,L,303.3,312.5,1968,20.6,130,No Failure,65.0
3583,H,303.3,312.6,1827,24.2,132,No Failure,26.4
3584,M,303.3,312.6,1397,47.1,137,No Failure,45.666666666666664
3585,L,303.3,312.6,1463,44.0,140,No Failure,70.0
3586,L,303.3,312.7,1643,30.7,142,No Failure,71.0
3587,L,303.2,312.6,1281,57.0,144,No Failure,72.0
3588,L,303.1,312.6,1548,36.4,150,No Failure,75.0
3589,H,303.1,312.6,1404,40.6,152,No Failure,30.4
3590,M,303.1,312.5,1667,30.0,160,No Failure,53.333333333333336
3591,H,303.0,312.5,1507,37.9,163,No Failure,32.6
3592,H,303.0,312.4,1627,37.1,168,No Failure,33.6
3593,H,302.9,312.3,1509,46.8,175,No Failure,35.0
3594,M,302.9,312.3,1809,25.0,180,No Failure,60.0
3595,L,302.9,312.3,1515,40.8,183,No Failure,91.5
3596,L,302.9,312.4,1550,36.9,194,No Failure,97.0
3597,L,302.9,312.4,1446,41.7,196,No Failure,98.0
3598,L,302.8,312.3,1494,37.5,198,No Failure,99.0
3599,L,302.8,312.4,1651,27.0,200,No Failure,100.0
3600,L,302.9,312.4,1698,33.8,202,No Failure,101.0
3601,M,302.8,312.3,1432,49.0,218,No Failure,72.66666666666667
3602,L,302.8,312.3,1366,49.1,221,No Failure,110.5
3603,H,302.8,312.3,1483,47.2,223,No Failure,44.6
3604,L,302.7,312.2,1572,34.4,228,No Failure,114.0
3605,L,302.8,312.2,1481,40.2,230,No Failure,115.0
3606,M,302.8,312.3,1262,70.5,234,Power Failure,78.0
3607,L,302.8,312.4,1523,39.7,239,No Failure,119.5
3608,M,302.8,312.3,1416,42.7,241,No Failure,80.33333333333333
3609,L,302.9,312.4,1923,23.9,244,No Failure,122.0
3610,H,302.8,312.4,1411,53.8,246,Overstrain Failure,49.2
3611,L,302.7,312.4,1477,46.3,251,Overstrain Failure,125.5
3612,L,302.7,312.4,1444,48.7,9,No Failure,4.5
3613,L,302.7,312.4,1360,47.8,11,No Failure,5.5
3614,L,302.7,312.4,1954,24.8,13,No Failure,6.5
3615,L,302.7,312.4,1433,44.2,17,No Failure,8.5
3616,M,302.7,312.5,1417,51.5,19,No Failure,6.333333333333333
3617,L,302.8,312.6,1462,39.4,22,No Failure,11.0
3618,L,302.9,312.6,1328,59.9,24,No Failure,12.0
3619,H,302.7,312.5,1527,36.4,26,No Failure,5.2
3620,L,302.6,312.3,1534,34.3,31,No Failure,15.5
3621,M,302.6,312.4,1410,50.3,33,No Failure,11.0
3622,L,302.6,312.3,1660,30.3,36,No Failure,18.0
3623,L,302.6,312.4,1386,45.8,38,No Failure,19.0
3624,L,302.6,312.4,1398,41.6,40,No Failure,20.0
3625,L,302.6,312.3,1321,53.4,42,No Failure,21.0
3626,L,302.6,312.3,1512,34.2,44,No Failure,22.0
3627,M,302.7,312.4,1422,44.5,49,No Failure,16.333333333333332
3628,L,302.6,312.2,1377,45.5,54,No Failure,27.0
3629,L,302.6,312.3,1554,42.0,58,No Failure,29.0
3630,L,302.8,312.4,1590,34.4,64,No Failure,32.0
3631,L,302.8,312.5,1694,28.4,66,No Failure,33.0
3632,L,302.8,312.5,1462,43.4,68,No Failure,34.0
3633,L,302.8,312.4,1392,46.2,70,No Failure,35.0
3634,L,302.9,312.5,1629,30.4,74,No Failure,37.0
3635,M,303.0,312.5,1524,42.1,76,No Failure,25.333333333333332
3636,M,302.9,312.6,1394,46.4,82,No Failure,27.333333333333332
3637,L,303.0,312.5,1626,30.5,87,No Failure,43.5
3638,M,303.0,312.6,1392,42.9,94,No Failure,31.333333333333332
3639,L,303.1,312.7,1353,51.8,97,No Failure,48.5
3640,M,303.0,312.7,1426,46.8,99,No Failure,33.0
3641,L,303.1,312.9,1511,40.1,107,No Failure,53.5
3642,L,303.1,312.8,1465,44.1,109,No Failure,54.5
3643,L,303.1,312.8,2329,15.1,113,No Failure,56.5
3644,L,303.0,312.7,1361,48.8,120,No Failure,60.0
3645,M,303.1,312.6,1895,23.5,129,No Failure,43.0
3646,M,303.1,312.6,1567,32.9,132,No Failure,44.0
3647,M,303.0,312.5,1602,33.7,135,No Failure,45.0
3648,L,303.1,312.6,1514,42.1,138,No Failure,69.0
